,time,teacher
0,1.3951833248138428,1
1,1.3633544445037842,1
2,1.3710925579071045,1
3,1.3619990348815918,1
4,1.380507230758667,1
0,1.5172851085662842,2
1,1.504723310470581,2
2,1.5469348430633545,2
3,1.5403947830200195,2
4,1.4828689098358154,2
0,1.6115753650665283,3
1,1.6719980239868164,3
2,1.6785063743591309,3
3,1.7098963260650635,3
4,1.6652348041534424,3
0,16.295611143112183,4
1,14.721628189086914,4
2,19.32595705986023,4
3,12.594138383865356,4
4,13.178935050964355,4
0,25.587254285812378,5
1,37.58996534347534,5
2,25.814225435256958,5
3,20.057787656784058,5
4,26.63765287399292,5
0,24.176168203353882,6
1,27.769009828567505,6
2,31.233939170837402,6
3,28.99912667274475,6
4,28.33028531074524,6
0,31.903503894805908,7
1,23.755412817001343,7
2,34.318071365356445,7
3,25.91468071937561,7
4,29.62425470352173,7
0,29.242146730422974,8
1,30.56217908859253,8
2,39.700644731521606,8
3,27.22599172592163,8
4,31.71348786354065,8
0,33.18791961669922,9
1,33.74628734588623,9
2,24.258347034454346,9
3,30.504631996154785,9
4,33.406991720199585,9
0,50.699265241622925,10
1,47.398518085479736,10
2,43.170243978500366,10
3,47.92383027076721,10
4,46.52443170547485,10
0,60.04912281036377,11
1,60.08744215965271,11
2,60.03615188598633,11
3,98.05668425559998,11
4,60.02722501754761,11
0,100.89589333534241,12
1,101.6821882724762,12
2,99.2960250377655,12
3,101.34388971328735,12
4,101.13470840454102,12
